comp_id,bioactivity,data_split,smiles
CHEMBL100095,0,train,COCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1
CHEMBL100316,1,train,CC(C)C[C@H](CCS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@H](C=O)CC(C)C
CHEMBL100428,0,test,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)COCc1ccccc1
CHEMBL100482,1,train,CC(C)C[C@H](NC(=O)c1ccc(CN)cc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CO
CHEMBL100702,1,test,O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(CCc2ccccc2)CC1=O)OCc1ccccc1
CHEMBL103238,1,test,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1)OCc1ccccc1
CHEMBL105708,1,test,CC(C)CN1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O
CHEMBL1078411,0,train,N#C[C@@]1(NC(=O)[C@@H](N)Cc2cccs2)C[C@@H]1c1ccccc1
CHEMBL1084400,1,test,N#Cc1nc(CCCN2CCCCC2)cc(-c2cccc(C(F)(F)F)c2)n1
CHEMBL1084401,1,train,CCC(CC)NCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1
CHEMBL1084402,1,train,CC(C)(C)NCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1
CHEMBL1084679,1,test,N#Cc1nc(NC2CCCCC2)nc(N2CCNCC2)n1
CHEMBL1086429,0,test,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(N)=O)C(C)C
CHEMBL1086431,0,validation,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)/C=C/C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C1CCCCC1)C(N)=O
CHEMBL1086432,1,validation,CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)/C=C/C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C1CCCCC1)C(C)C)C(N)=O
CHEMBL113706,1,test,O=C(N[C@@H](Cc1cccs1)C(=O)N[C@@H]1C(=O)N2CCS(=O)(=O)[C@@H]12)OCc1ccccc1
CHEMBL113761,1,test,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCO[C@H]12)OCc1ccccc1
CHEMBL113948,1,train,CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)C(C)C
CHEMBL114161,1,train,CCCC[C@@H](C=O)NC(=O)O[C@@H](C)Cc1ccccc1
CHEMBL114388,1,train,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)B(O)O
CHEMBL114410,1,test,O=C(N[C@@H](CC1CCCCC1)C(=O)N[C@@H]1C(=O)N2CCS(=O)(=O)[C@@H]12)OCc1ccccc1
CHEMBL114462,1,train,CCCC[C@@H](C=O)NC(=O)O[C@@H](CC)Cc1ccccc1
CHEMBL115145,0,test,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O
CHEMBL115822,0,validation,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCCS(=O)(=O)[C@H]12)OCc1ccccc1
CHEMBL116041,1,train,O=C(N[C@@H](Cc1cccc(F)c1)C(=O)N[C@@H]1C(=O)N2CCS(=O)(=O)[C@@H]12)OCc1ccccc1
CHEMBL116402,1,train,CCCC[C@@H](C=O)NC(=O)O[C@@H](C)CC1CCCCC1
CHEMBL116477,1,train,CCCNC(=O)C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1
CHEMBL116724,1,test,CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCC1
CHEMBL116779,1,train,CCCC[C@@H](C=O)NC(=O)OC(CC)(CC)Cc1ccccc1
CHEMBL116910,0,test,O=C(N[C@H](C(=O)N[C@@H]1C(=O)N2CCO[C@H]12)c1ccccc1)OCc1ccccc1
CHEMBL1171093,0,validation,CCCCNC(=O)OC[C@H]1N=C(c2ccccc2)c2ccccc2N(CC(=O)NC/C=C/C(=O)OC)C1=O
CHEMBL1171633,0,train,COC(=O)/C=C/CNC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccc(Br)cc2)c2ccccc21
CHEMBL1171635,1,train,COC(=O)/C=C/CNC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(OC)cc2)N=C(c2ccccc2)c2ccccc21
CHEMBL1171636,0,test,COC(=O)/C=C/CNC(=O)CN1C(=O)[C@@H](COC(=O)Nc2cccc3ccccc23)N=C(c2ccccc2)c2ccccc21
CHEMBL1171803,0,train,COC(=O)/C=C/[C@H](CC(C)C)NC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21
CHEMBL1171804,1,train,COC(=O)/C=C/CNC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2cc(Cl)ccc21
