comp_id,bioactivity,data_split,smiles,comp_id_FAIL
CEFPIRAMIDE,1,train,Cc1cc(O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1,comp0
GEMIFLOXACIN MESYLATE,1,test,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN.CS(=O)(=O)O,comp1
POLYMYXIN B SULFATE,1,train,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O.O=S(=O)(O)O,comp2
PRAXADINE HYDROCHLORIDE,1,test,Cl.N=C(N)n1cccn1,comp3
CHLORHEXIDINE DIHYDROCHLORIDE,1,train,Cl.Cl.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,comp4
"HAEMATOMMIC ACID, ETHYL ESTER",1,train,CCOC(=O)c1c(C)cc(O)c(C=O)c1O,comp5
CEFOTAXIME SODIUM,1,train,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CSC12)c1csc(N)n1.[Na+],comp6
CHLORAMPHENICOL,1,train,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,comp7
GATIFLOXACIN,1,validation,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,comp8
CEFAZOLIN SODIUM,1,train,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1.[Na+],comp9
PATULIN,1,train,O=C1C=C2C(=CCOC2O)O1,comp10
CEPHALOTHIN SODIUM,1,train,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3cccs3)C2SC1.[Na+],comp11
