comp_id,bioactivity,data_split,smiles
CHEMBL10,1,test,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL10042,0,train,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1
CHEMBL100422,0,train,COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1F
CHEMBL101,1,test,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL1020,1,test,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
CHEMBL102223,0,train,[N-]=[N+]=Nc1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
CHEMBL1034,1,train,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
CHEMBL10345,0,validation,CC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O
CHEMBL104502,0,train,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N=[N+]=[N-])cc2)cc1
CHEMBL105766,0,train,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1
CHEMBL106023,0,train,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1
CHEMBL106151,0,train,COc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cn1
CHEMBL106192,0,test,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2nccc3ccccc23)cc1
CHEMBL106255,0,test,CC1(C)OC(=O)C(Oc2ccncc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL106302,1,train,CC1(C)OC(=O)C(Oc2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL107088,1,train,Cc1ccc(OC2=C(c3ccc(S(C)(=O)=O)cc3)C(C)(C)OC2=O)cc1
CHEMBL1071,1,train,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL1075636,1,train,O=S(=O)(Nc1ccncc1Nc1ccccc1Cl)C(F)(F)F
