comp_id,bioactivity,data_split,smiles
CHEMBL10,1,validation,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL100309,1,train,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1
CHEMBL100312,1,train,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2
CHEMBL101035,0,test,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1
CHEMBL101804,1,validation,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1
CHEMBL102714,1,train,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
CHEMBL102953,1,train,O=C(CBr)c1ccccc1
CHEMBL103009,1,train,COc1ccc(C(=O)CBr)cc1
CHEMBL103055,1,train,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL103421,1,test,CCN1CCOCCN(CC)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL103506,1,test,CCN1CCOCCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
CHEMBL103628,1,test,CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC1
CHEMBL103667,0,train,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
CHEMBL105348,1,train,O=C(CBr)c1ccc(C(F)(F)F)cc1
CHEMBL105477,1,test,CN1CCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
CHEMBL105620,1,test,CN1CCOCCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
CHEMBL105712,0,train,O=C(CCl)c1ccccc1
CHEMBL106061,1,train,CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL106072,1,train,O=C(CBr)c1ccc([N+](=O)[O-])cc1
CHEMBL106384,1,test,CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC1
CHEMBL1076552,1,test,COc1ccncc1C1=NNC(=O)/C1=N\\Nc1ccncc1
CHEMBL1076619,1,validation,CC1=NNC(=O)/C1=N\\Nc1ccccc1Cl
CHEMBL1076682,1,train,COc1ccc(N/N=C2\\C(=O)NN=C2c2ccccc2)cc1
CHEMBL1076695,1,train,COc1cccc(C2=NNC(=O)/C2=N\\Nc2ccc(Cl)cc2)c1
CHEMBL1076701,1,train,COc1ccc(C2=NNC(=O)/C2=N\\Nc2cccc(Cl)c2)cc1
CHEMBL1076721,1,train,COc1ccc(C2=NNC(=O)/C2=N\\Nc2cccnc2)cc1
CHEMBL1076755,1,train,COc1cccc(N/N=C2\\C(=O)NN=C2c2cnccc2OC)c1
CHEMBL1077213,1,train,CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccc(CC)cc3)cc12
CHEMBL1077218,1,test,CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccoc3)cc12
CHEMBL1077233,1,test,CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccncc3)cc12
CHEMBL1077243,1,test,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3ccoc3)cc12
CHEMBL1077258,1,train,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(SC)cc3)ccc12
