smiles,true_label,predicted_probability_class_0,predicted_probability_class_1
O=C1OC(Nc2ncc3nnn(-c4ccccc4)c3n2)c2ccccc21,1,0.25248682,0.7475132
NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,0,0.33387882,0.6661212
OC12CC3CC(C1)CC(n1nnc4cnc(N[C@H]5CC[C@H](O)CC5)nc41)(C3)C2,1,0.25946218,0.7405378
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0,0.4468938,0.5531062
O[C@H]1CC[C@H](Nc2ncc3nnn(-c4ccccc4)c3n2)CC1,1,0.12933016,0.87066984
O=[N+]([O-])c1cnc(N[C@H]2CC[C@H](O)CC2)nc1Nc1ccccc1,1,0.12748343,0.8725166
O=C(O)c1ccc(Nc2ncc(-c3ccncc3)c(Nc3ccccc3)n2)cc1,1,0.1350084,0.8649916
O=C(Nc1n[nH]c2ncc(-c3ccccc3)cc12)C1CCCC1,1,0.19456077,0.80543923
CCN1CCN(CCCCC(=O)Nc2n[nH]c3nnc(-c4ccccc4)cc23)CC1,1,0.29892367,0.7010763
COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,0,0.19542867,0.80457133
O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,1,0.08435106,0.91564894
O=C(Nc1n[nH]c2cc(-c3ccoc3)ccc12)C1CC1,1,0.08488095,0.91511905
CCCC(=O)Nc1n[nH]c2ncc(-c3cccc4ccccc34)cc12,1,0.0940721,0.9059279
O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,1,0.08435106,0.91564894
O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,1,0.075394094,0.9246059
CCCC(=O)Nc1n[nH]c2ncc(-c3ccc(-c4ccccc4)cc3)cc12,1,0.111932635,0.88806736
CCCC(=O)Nc1n[nH]c2ncc(-c3ccncc3)cc12,1,0.09362239,0.9063776
CCCC(=O)Nc1n[nH]c2ccc(-c3ccccc3)cc12,1,0.10870087,0.8912991
O=C(CCCN1CCCC1)Nc1n[nH]c2nnc(-c3ccccc3)cc12,1,0.1778909,0.8221091
O=C(CCCN1CCOCC1)Nc1n[nH]c2nnc(-c3ccccc3)cc12,1,0.109669566,0.89033043
O=C(Nc1n[nH]c2cc(-c3ccc4[nH]ccc4c3)ccc12)C1CC1,1,0.20830917,0.7916908
CCCC(=O)Nc1n[nH]c2cnc(-c3ccccc3)nc12,1,0.09362239,0.9063776
O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CC1,1,0.12798178,0.8720182
CCCC(=O)Nc1n[nH]c2ncc(B3OC(C)(C)C(C)(C)O3)cc12,1,0.0787006,0.9212994
Cc1[nH]c(/C=C2\\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,0,0.084106326,0.9158937
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC,0,0.5345347,0.46546534
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0,0.55568045,0.44431955
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,1,0.08370525,0.91629475
Nc1nccc(-c2c[nH]c3c(Br)ccc(O)c23)n1,1,0.14393878,0.8560612
Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,1,0.21355343,0.7864466
CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,0,0.122201264,0.87779874
Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,0,0.21754801,0.782452
CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,0,0.26377058,0.7362294
COc1cc2c(cc1OC)CN(CC(=O)Nc1ccc3c(c1)/C(=C/c1cnc[nH]1)C(=O)N3)CC2,1,0.36214423,0.63785577
COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,0,0.45024198,0.549758
COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,0,0.23937863,0.76062137
Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1,1,0.5973574,0.4026426
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,1,0.43338883,0.5666112
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,0,0.14548045,0.85451955
O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CCN(Cc2ccccc2)C1,1,0.48990333,0.51009667
O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,0,0.5178357,0.48216432
Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O,0,0.54813945,0.45186052
COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,0,0.4203838,0.5796162
Nc1nc(NCCNc2ncc(-n3ccnc3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],1,0.5754281,0.42457187
O=C(Nc1n[nH]c2cc(-c3cccs3)ccc12)C1CC1,1,0.08435106,0.91564894
N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,0,0.15816963,0.8418304
CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,0,0.15675074,0.84324926
Cc1c(Cn2c(C)nc3c(C(=O)O)cc(N4CCOCC4)cc32)cccc1C(F)(F)F,0,0.3047207,0.6952793
Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,0,0.29804337,0.7019566
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,0,0.5327654,0.46723458
COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1,1,0.34415877,0.65584123
CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,0,0.32343376,0.67656624
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,0,0.27952474,0.72047526
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,1,0.4279083,0.5720917
COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,1,0.55321956,0.44678047
CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,0,0.54110354,0.45889646
C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,0,0.22149962,0.7785004
C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,0,0.5353788,0.4646212
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0,0.56381154,0.4361885
CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,0,0.25161296,0.74838704
Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,1,0.23875737,0.7612426
C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0,0.2264005,0.7735995
CN1C(=N)NC(=O)/C1=C\\c1ccc(-c2ccc(F)cc2)o1,1,0.10053629,0.8994637
CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,0,0.6419883,0.35801175
O=c1[nH]c(C2CCCN2)nc2c1oc1ccc(Cl)cc12,0,0.22538662,0.7746134
NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,0,0.44963443,0.55036557
Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1,1,0.5415712,0.4584288
O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1,0,0.10907328,0.8909267
COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,0,0.6035455,0.3964545
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc3[nH]ncc23)CC1,0,0.5017953,0.49820468
COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,1,0.698782,0.30121797
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,0,0.42972785,0.57027215
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0,0.22449619,0.7755038
Cn1cc(C2=Nc3cc(NC(=O)C(N)C4CCCCC4)cc4c3C2=CNNC4=O)cn1,0,0.19664729,0.8033527
O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,0,0.18895483,0.81104517
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,0,0.24408036,0.75591964
Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,0,0.45361996,0.54638004
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,0,0.49494374,0.50505626
O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,0,0.40411794,0.59588206
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,0,0.26377058,0.7362294
CCn1c(=O)c(-c2cc[nH]n2)cc2c(C)nc(N)nc21,0,0.21347159,0.7865284
COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1,0,0.19371867,0.8062813
CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1,0,0.57956445,0.42043555
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1,0.40264207,0.5973579
Cc1nc(Nc2n[nH]c3ncc(F)cc23)cc(C2CCC(F)(F)CC2)n1,1,0.11491716,0.88508284
Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(C2CCCCCC2)n1,1,0.105517864,0.89448214
Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(C2CCCC2)n1,1,0.19592625,0.80407375
Cc1cc(Nc2n[nH]c3ccc(F)cc23)nc(C2CCOCC2)n1,1,0.0940721,0.9059279
Cc1cc(Nc2c[nH]c3ncc(F)cc23)nc(C23CC4CC(CC(C4)C2)C3)n1,1,0.1364584,0.8635416
Cc1cc(Nc2n[nH]c3ccc(F)cc23)nc(C2CCCCC2)n1,1,0.0940721,0.9059279
COc1cc(F)ccc1-c1ccnc(NC(=O)[C@H]2CCC[C@@H](NC(C)=O)C2)c1,1,0.14672726,0.85327274
COc1cc(F)ccc1-c1ccnc(NC(=O)C2CCC(NC(C)=O)C2)c1,1,0.24667275,0.75332725
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,1,0.14585686,0.85414314
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,1,0.68131566,0.31868434
COCC(=O)Nc1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1,1,0.49171245,0.50828755
CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(\\Nc1ccc(CN(C)C)cc1)c1ccccc1,0,0.41755694,0.58244306
Cc1nccc(-c2ccc(C(=O)N3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,1,0.60921776,0.39078227
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccccc4)n3)c3ccccc23)cc1,0,0.23997259,0.7600274
CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](C)(C)CC1,0,0.53116906,0.4688309
COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cccc(F)c4F)cc23)CC1,1,0.1760121,0.8239879
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,1,0.123379946,0.87662005
FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,0,0.19841921,0.8015808
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,1,0.5090663,0.49093372
CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,1,0.19660813,0.8033919
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)C(=O)NC5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,1,0.05844599,0.941554
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]nnc5c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,1,0.05844599,0.941554
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(cnn5CCN5CCOCC5)c4)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)nc2)n1,1,0.05844599,0.941554
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5cn[nH]c5c4)n3)c3ccccc23)cc1,1,0.05844599,0.941554
Cc1n[nH]c2ncc(C(=O)N3CCC[C@H]3c3ccc(Cl)cc3)cc12,1,0.19708562,0.8029144
Cc1cc2cc(Nc3nccc(Oc4ccc(NC(=O)Nc5cc(C(C)(C)C)nn5-c5ccc(OCCN6CCOCC6)cc5)c5ccccc45)n3)ccc2[nH]1,1,0.05844599,0.941554
COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]nc(C(=O)N6CCOCC6)c5c4)n3)c3ccccc23)cn1,1,0.05844599,0.941554
Cc1nc2ccc(-n3ncc(C(=O)c4cc5ccccc5[nH]4)c3N)cc2[nH]1,0,0.21865743,0.78134257
