Ortholog Group 	 Organism 	 Core/Peripheral 	 full_id
OG6_100231 	 Theileria equi strain WA 	 Peripheral 	 tequ|BEWA_038740
OG6_100231 	 Theileria orientalis Fish Creek 	 Peripheral 	 tofc|MACJ_000580
OG6_100231 	 Theileria equi strain WA 	 Peripheral 	 tequ|BEWA_030230
OG6_100231 	 Plasmodium vinckei brucechwatti DA 	 Peripheral 	 pvbd|PVBDA_0700080
OG6_100231 	 Plasmodium ovale curtisi GH01 	 Peripheral 	 pova|PocGH01_12035900
OG6_100231 	 Cystoisospora suis strain Wien I 	 Peripheral 	 csui|CSUI_008983
OG6_100231 	 Theileria orientalis Fish Creek 	 Peripheral 	 tofc|MACJ_002724
OG6_100231 	 Chlamydomonas reinhardtii (Chlamydomonas smithii) 	 Core 	 crei|A0A2K3D085
OG6_100231 	 Cytauxzoon felis strain Winnie 	 Peripheral 	 cfel|CF002892
OG6_100231 	 Eimeria tenella Houghton 2021 	 Peripheral 	 etht|ETH2_1245000
OG6_100231 	 Eimeria tenella strain Houghton 	 Peripheral 	 eten|ETH_00015590
OG6_100231 	 Cytauxzoon felis strain Winnie 	 Peripheral 	 cfel|CF001848
OG6_100231 	 Theileria orientalis Fish Creek 	 Peripheral 	 tofc|MACJ_001888
OG6_100231 	 Theileria orientalis Goon Nure 	 Peripheral 	 togn|MACK_000617
OG6_100231 	 Eimeria necatrix Houghton 	 Peripheral 	 enec|ENH_00044280
OG6_100231 	 Plasmodium vinckei Cameroon EL 	 Peripheral 	 pvce|PVSEL_0700120
OG6_100231 	 Plasmodium vinckei vinckei CY 	 Peripheral 	 pvvc|PVVCY_0700010
OG6_100231 	 Eimeria brunetti Houghton 	 Peripheral 	 ebru|EBH_0013630
OG6_100231 	 Theileria orientalis Fish Creek 	 Peripheral 	 tofc|MACJ_000938
OG6_100231 	 Theileria equi strain WA 	 Peripheral 	 tequ|BEWA_014650
OG6_100231 	 Plasmodium vinckei petteri CR 2020 	 Peripheral 	 pvcr|PVPCR_0700110
OG6_100231 	 Eimeria falciformis Bayer Haberkorn 1970 	 Peripheral 	 efal|EfaB_PLUS_10843.g925
OG6_100231 	 Cytauxzoon felis strain Winnie 	 Peripheral 	 cfel|CF004054
OG6_100231 	 Hepatocystis sp. ex Piliocolobus tephrosceles 2019 	 Peripheral 	 hpil|HEP_00371900
OG6_100231 	 Dictyostelium discoideum (Social amoeba) 	 Core 	 ddis|Q55EQ3
OG6_100231 	 Theileria equi strain WA 	 Peripheral 	 tequ|BEWA_033800
OG6_100231 	 Theileria equi strain WA 	 Peripheral 	 tequ|BEWA_044070
